Date,Total Number of Visitors
2012-09-16,2719
2012-09-15,2224
2012-09-14,4216
2012-09-13,5481
2012-09-12,5222
2012-09-11,5483
2012-09-10,5357
2012-09-09,2470
2012-09-08,2152
2012-09-07,3809
2012-09-06,5128
2012-09-05,5043
2012-09-04,5071
2012-09-03,3154
2012-09-02,1870
2012-09-01,1709
2012-08-31,3352
2012-08-30,4533
2012-08-29,4739
2012-08-28,4696
2012-08-27,4321
2012-08-26,2023
2012-08-25,1725
2012-08-24,3517
2012-08-23,4458
2012-08-22,4374
2012-08-21,4715
2012-08-20,5799
2012-08-19,1748
2012-08-18,1686
2012-08-17,3349
2012-08-16,3886
2012-08-15,4151
2012-08-14,4526
2012-08-13,3918
2012-08-12,1576
2012-08-11,1530
2012-08-10,3807
2012-08-09,4514
2012-08-08,4194
2012-08-07,4869
2012-08-06,4451
2012-08-05,1886
2012-08-04,1824
2012-08-03,4267
2012-08-02,4782
2012-08-01,4891
2012-07-31,4138
2012-07-30,4342
2012-07-29,1872
2012-07-28,1457
2012-07-27,3240
2012-07-26,3892
2012-07-25,4058
2012-07-24,4301
2012-07-23,4400
2012-07-22,1885
2012-07-21,1649
2012-07-20,2707
2012-07-19,3377
2012-07-18,3769
2012-07-17,3324
2012-07-16,3398
2012-07-15,1411
2012-07-14,1329
2012-07-13,2683
2012-07-12,3926
2012-07-11,4497
2012-07-10,5307
2012-07-09,4538
2012-07-08,1647
2012-07-07,1681
2012-07-06,3589
2012-07-05,3598
2012-07-04,1840
2012-07-03,3484
2012-07-02,3348
2012-07-01,1312
2012-06-30,1262
2012-06-29,2705
2012-06-28,3536
2012-06-27,3503
2012-06-26,4012
2012-06-25,3881
2012-06-24,1397
2012-06-23,1264
2012-06-22,2770
2012-06-21,3431
2012-06-20,3797
2012-06-19,4390
2012-06-18,3938
2012-06-17,1569
2012-06-16,1319
2012-06-15,3308
2012-06-14,6889
2012-06-13,7853
2012-06-12,3543
2012-06-11,3532
2012-06-10,1425
2012-06-09,1277
2012-06-08,2820
2012-06-07,3508
2012-06-06,3616
2012-06-05,3812
2012-06-04,3907
2012-06-03,1696
2012-06-02,1896
2012-06-01,3548
2012-05-31,5776
2012-05-30,4089
2012-05-29,3859
2012-05-28,2167
2012-05-27,1652
2012-05-26,1416
2012-05-25,2968
2012-05-24,5283
2012-05-23,4253
2012-05-22,3722
2012-05-21,3602
2012-05-20,1461
2012-05-19,1454
2012-05-18,3014
2012-05-17,3656
2012-05-16,4323
2012-05-15,3777
2012-05-14,3654
2012-05-13,1474
2012-05-12,1382
2012-05-11,2936
2012-05-10,3571
2012-05-09,3659
2012-05-08,3738
2012-05-07,3788
2012-05-06,1805
2012-05-05,1718
2012-05-04,3335
2012-05-03,4172
2012-05-02,4779
2012-05-01,4311
2012-04-30,4028
2012-04-29,2254
2012-04-28,2250
2012-04-27,3565
2012-04-26,4468
2012-04-25,4807
2012-04-24,5197
2012-04-23,5514
2012-04-22,3222
2012-04-21,2476
2012-04-20,4102
2012-04-19,5389
2012-04-18,5965
2012-04-17,5884
2012-04-16,6651
2012-04-15,3710
2012-04-14,3160
2012-04-13,10784
2012-04-12,25945
2012-04-11,5028
2012-04-10,5190
2012-04-09,4876
2012-04-08,2497
2012-04-07,2187
2012-04-06,3489
2012-04-05,4155
2012-04-04,4763
2012-04-03,5011
2012-04-02,4909
2012-04-01,2637
2012-03-31,2224
2012-03-30,3728
2012-03-29,4721
2012-03-28,4926
2012-03-27,5452
2012-03-26,6397
2012-03-25,2890
2012-03-24,2407
2012-03-23,5282
2012-03-22,6425
2012-03-21,5399
2012-03-20,5568
2012-03-19,5608
2012-03-18,3430
2012-03-17,2517
2012-03-16,4233
2012-03-15,5290
2012-03-14,5401
2012-03-13,7160
2012-03-12,6125
2012-03-11,2885
2012-03-10,3127
2012-03-09,8085
2012-03-08,16284
2012-03-07,4365
2012-03-06,4680
2012-03-05,5684
2012-03-04,4817
2012-03-03,1839
2012-03-02,3499
2012-03-01,4357
2012-02-29,4874
2012-02-28,4658
2012-02-27,4867
2012-02-26,2384
2012-02-25,1970
2012-02-24,3814
2012-02-23,4884
2012-02-22,5410
2012-02-21,5177
2012-02-20,4227
2012-02-19,2410
2012-02-18,2125
2012-02-17,4407
2012-02-16,4991
2012-02-15,5582
2012-02-14,5930
2012-02-13,7760
2012-02-12,6299
2012-02-11,2175
2012-02-10,3861
2012-02-09,4905
2012-02-08,5456
2012-02-07,4982
2012-02-06,4850
2012-02-05,2160
2012-02-04,1831
2012-02-03,4017
2012-02-02,4779
2012-02-01,5392
2012-01-31,5082
2012-01-30,5260
2012-01-29,2627
2012-01-28,2421
2012-01-27,4435
2012-01-26,5194
2012-01-25,4906
2012-01-24,4760
2012-01-23,4690
2012-01-22,2229
2012-01-21,1935
2012-01-20,4319
2012-01-19,5948
2012-01-18,4316
2012-01-17,4753
2012-01-16,3190
2012-01-15,1737
2012-01-14,1494
2012-01-13,3515
2012-01-12,3941
2012-01-11,4305
2012-01-10,4251
2012-01-09,3998
2012-01-08,1602
2012-01-07,1530
2012-01-06,3067
2012-01-05,6726
2012-01-04,6405
2012-01-03,3440
2012-01-02,2155
2012-01-01,1273
2011-12-31,1336
2011-12-30,1912
2011-12-29,2248
2011-12-28,2524
2011-12-27,2471
2011-12-26,1482
2011-12-25,953
2011-12-24,955
2011-12-23,1612
2011-12-22,2603
2011-12-21,3024
2011-12-20,3288
2011-12-19,3468
2011-12-18,1560
2011-12-17,1293
2011-12-16,2954
2011-12-15,3822
2011-12-14,4303
2011-12-13,5433
2011-12-12,4944
2011-12-11,2705
2011-12-10,2128
2011-12-09,4570
2011-12-08,6862
2011-12-07,8571
2011-12-06,12361
2011-12-05,9301
2011-12-04,7471
2011-12-03,13387
2011-12-02,4805
2011-12-01,3778
2011-11-30,4052
2011-11-29,4295
2011-11-28,4250
2011-11-27,1974
2011-11-26,1577
2011-11-25,1937
2011-11-24,2101
2011-11-23,2799
2011-11-22,3840
2011-11-21,4234
2011-11-20,2099
2011-11-19,1703
2011-11-18,3485
2011-11-17,4431
2011-11-16,4282
2011-11-15,4481
2011-11-14,4517
2011-11-13,2319
2011-11-12,2031
2011-11-11,3475
2011-11-10,5480
2011-11-09,4192
2011-11-08,4475
2011-11-07,4364
2011-11-06,2197
2011-11-05,1677
2011-11-04,3227
2011-11-03,3762
2011-11-02,4092
2011-11-01,4297
2011-10-31,3683
2011-10-30,1911
2011-10-29,1588
2011-10-28,3026
2011-10-27,3810
2011-10-26,3776
2011-10-25,3996
2011-10-24,4041
2011-10-23,1913
2011-10-22,1574
2011-10-21,3057
2011-10-20,3695
2011-10-19,4177
2011-10-18,4373
2011-10-17,3981
2011-10-16,1826
2011-10-15,1459
2011-10-14,3022
2011-10-13,3762
2011-10-12,3952
2011-10-11,4031
2011-10-10,3364
2011-10-09,1669
2011-10-08,1421
2011-10-07,3193
2011-10-06,3550
2011-10-05,3671
2011-10-04,3726
2011-10-03,3693
2011-10-02,1821
2011-10-01,1494
2011-09-30,3075
2011-09-29,3960
2011-09-28,3940
2011-09-27,4147
2011-09-26,4139
2011-09-25,1927
2011-09-24,1583
2011-09-23,3363
2011-09-22,4052
2011-09-21,4109
2011-09-20,4153
2011-09-19,4057
2011-09-18,1786
2011-09-17,1353
2011-09-16,2958
2011-09-15,3513
2011-09-14,3697
2011-09-13,3626
2011-09-12,3475
2011-09-11,1595
2011-09-10,1309
2011-09-09,2743
2011-09-08,3323
2011-09-07,3391
2011-09-06,3350
2011-09-05,1881
2011-09-04,1215
2011-09-03,1008
2011-09-02,2456
2011-09-01,2819
2011-08-31,3199
